Location,Type,Rooms,Price
Ajah,semi-detached duplex,3,1200000
VI,terraced duplex,4,20000000
Ajah,terraced duplex,4,2000000
Lekki,semi-detached duplex,4,3000000
Lekki,semi-detached duplex,4,3000000
Lekki,flat apartment,5,6500000
Magodo,detached duplex,5,6000000
Lekki,detached duplex,4,3800000
Lekki,flat apartment,3,3000000
Lekki,semi-detached duplex,4,40000000
Lekki,detached duplex,5,5000000
Lekki,flat apartment,4,2800000
Lekki,flat apartment,4,4000000
Lekki,semi-detached duplex,4,3500000
Lekki,flat apartment,3,3500000
Lekki,flat apartment,3,3000000
Yaba,flat apartment,1,150000
Ikoyi,terraced duplex,3,15000000
Lekki,terraced duplex,4,3000000
Lekki,terraced duplex,4,4500000
Lekki,semi-detached bungalow,4,3500000
Lekki,detached duplex,5,4500000
Lekki,detached duplex,4,4500000
Lekki,detached duplex,4,3800000
Ajah,detached duplex,4,4000000
VI,terraced duplex,3,4000000
Lekki,detached duplex,5,4500000
Lekki,terraced duplex,4,3000000
Lekki,semi-detached duplex,4,1700000
Lekki,semi-detached duplex,4,4000000
Ilupeju,semi-detached duplex,4,6000000
Lekki,detached duplex,5,4500000
Ajah,detached duplex,5,1500000
Lekki,flat apartment,4,4000000
Lekki,terraced duplex,4,3500000
Ipaja,detached duplex,4,800000
VI,terraced duplex,5,5000000
Lekki,semi-detached duplex,4,4500000
Lekki,detached duplex,4,3500000
Lekki,detached duplex,4,3800000
Lekki,flat apartment,2,1600000
Lekki,detached duplex,5,6500000
Lekki,terraced duplex,3,2500000
Lekki,terraced duplex,4,4500000
Lekki,terraced duplex,3,2500000
Lekki,semi-detached duplex,4,4500000
Lekki,terraced duplex,4,5000000
Lekki,terraced duplex,3,3500000
Lekki,semi-detached duplex,4,3500000
Lekki,detached duplex,5,4500000
VI,flat apartment,4,4500000
Lekki,terraced duplex,4,3000000
Lekki,detached duplex,5,4000000
VI,terraced duplex,4,4500000
Lekki,terraced duplex,3,1500000
Lekki,detached duplex,3,3000000
Lekki,detached duplex,5,4500000
Lekki,detached duplex,5,12000000
VI,flat apartment,5,9000000
Lekki,detached duplex,4,4000000
Lekki,semi-detached duplex,4,3000000
Ikeja,detached duplex,5,5000000
Ikeja,terraced duplex,5,8000000
Ikeja,semi-detached duplex,4,7000000
Ajah,detached bungalow,4,1400000
Lekki,detached duplex,4,4000000
Lekki,flat apartment,3,700000
Lekki,detached duplex,4,3500000
Lekki,flat apartment,3,1800000
Lekki,semi-detached duplex,4,4000000
Ikeja,semi-detached duplex,4,3000000
Lekki,semi-detached duplex,3,2500000
Lekki,terraced duplex,4,6000000
Lekki,terraced duplex,4,3500000
VI,flat apartment,2,3500000
Lekki,flat apartment,4,4000000
VI,terraced duplex,4,7000000
VI,flat apartment,3,7000000
Lekki,terraced duplex,4,3000000
VI,detached duplex,9,11000000
Yaba,flat apartment,1,650000
Ajah,detached duplex,4,2500000
Ajah,terraced duplex,2,1500000
Ikoyi,flat apartment,3,11000000
Magodo,flat apartment,2,2000000
Magodo,detached duplex,2,1800000
Island,detached duplex,5,4500000
Lekki,semi-detached duplex,4,3500000
Lekki,semi-detached duplex,4,3500000
Ikoyi,semi-detached duplex,4,8000000
North,detached duplex,4,1800000
Alimosho,detached duplex,3,1500000
Yaba,flat apartment,1,600000
Lekki,semi-detached duplex,4,3200000
Yaba,flat apartment,3,3500000
Lekki,flat apartment,4,4000000
Lekki,flat apartment,2,2200000
Lekki,semi-detached duplex,4,6000000
Lekki,terraced duplex,3,3500000
Lekki,terraced duplex,4,50000000
Ikoyi,semi-detached bungalow,4,9000000
Lekki,semi-detached duplex,4,3500000
Lekki,semi-detached duplex,4,3500000
Lekki,terraced duplex,4,3000000
Lekki,semi-detached duplex,4,3500000
Lekki,terraced duplex,4,4500000
Lekki,terraced duplex,4,3000000
Lekki,terraced duplex,4,3000000
Lekki,semi-detached duplex,4,3700000
Lekki,terraced duplex,3,2500000
Lekki,semi-detached duplex,4,3500000
Lekki,terraced duplex,3,3500000
Lekki,detached duplex,5,4200000
VI,semi-detached duplex,5,8500000
Lekki,semi-detached duplex,4,7000000
Lekki,semi-detached duplex,4,48000000
Lekki,terraced duplex,3,1500000
Lekki,terraced duplex,4,3000000
Lekki,semi-detached duplex,4,3500000
Lekki,detached duplex,5,3800000
Lekki,semi-detached duplex,4,4200000
Lekki,detached duplex,5,3000000
Lekki,detached duplex,5,3500000
Lekki,semi-detached duplex,4,3500000
VI,detached duplex,3,7500000
Ikeja,flat apartment,5,4500000
Lekki,terraced duplex,3,2500000
Lekki,semi-detached duplex,4,4000000
Ikeja,semi-detached duplex,4,3000000
Lekki,terraced duplex,3,5000000
Lekki,terraced duplex,4,3300000
Ikoyi,semi-detached duplex,4,10000000
Lekki,terraced duplex,3,2500000
Lekki,semi-detached duplex,4,4000000
Ikoyi,semi-detached duplex,4,5000000
Lekki,semi-detached duplex,4,3500000
Lekki,semi-detached duplex,6,5000000
Lekki,semi-detached duplex,4,3500000
Lekki,detached duplex,5,4000000
Lekki,detached duplex,4,3500000
VI,semi-detached duplex,5,8500000
Lekki,semi-detached duplex,4,3500000
Lekki,terraced duplex,4,3000000
VI,flat apartment,3,4000000
VI,semi-detached duplex,5,8500000
Lekki,detached duplex,5,6000000
Lekki,flat apartment,4,3500000
Ikeja,detached duplex,5,5000000
Ikeja,detached duplex,5,5000000
Lekki,semi-detached duplex,4,2500000
Lekki,semi-detached duplex,3,3000000
VI,detached duplex,4,10000000
Ikoyi,semi-detached duplex,5,17000000
VI,terraced duplex,4,4000000
Ajah,semi-detached bungalow,3,1300000
Magodo,detached duplex,5,5500000
Lekki,terraced duplex,5,3200000
Lekki,flat apartment,4,4000000
Lekki,semi-detached duplex,3,2500000
Lekki,terraced duplex,4,3000000
Lekki,terraced duplex,4,3500000
Isheri,detached duplex,4,1000000
Lekki,terraced duplex,4,3500000
VI,terraced duplex,4,5000000
Lekki,semi-detached duplex,4,3500000
Ikoyi,semi-detached duplex,4,15000000
Magodo,flat apartment,3,1500000
Lekki,detached duplex,4,4000000
Ikorodu,detached duplex,5,2000000
Lekki,semi-detached duplex,4,3000000
Ikeja,semi-detached duplex,5,3000000
Ikeja,detached duplex,4,8000000
Ajah,detached duplex,4,2500000
Lekki,semi-detached duplex,4,3500000
Surulere,semi-detached duplex,3,3500000
Lekki,terraced duplex,4,3500000
Lekki,detached duplex,4,4500000
Lekki,flat apartment,1,700000
Lekki,flat apartment,4,4000000
Ikoyi,semi-detached duplex,4,12500000
Lekki,detached duplex,5,5000000
VI,flat apartment,3,3500000
Lekki,detached duplex,5,6000000
Ikoyi,flat apartment,3,3000000
Ikoyi,semi-detached bungalow,2,3500000
Lekki,semi-detached duplex,3,3200000
Lekki,semi-detached duplex,3,4000000
Lekki,terraced duplex,4,3000000
VI,terraced duplex,4,5000000
VI,terraced duplex,4,5000000
Lekki,detached duplex,4,3500000
Lekki,semi-detached duplex,4,7000000
Lekki,detached duplex,5,4500000
Lekki,semi-detached duplex,4,3500000
Lekki,terraced duplex,4,7000000
Ikoyi,terraced duplex,4,15000000
VI,flat apartment,3,3600000
Magodo,detached bungalow,4,2800000
Ajah,flat apartment,2,650000
Lekki,flat apartment,4,4000000
Lekki,detached duplex,5,8500000
Lekki,semi-detached duplex,3,4000000
Lekki,terraced duplex,4,4500000
Lekki,detached duplex,4,3300000
Ajah,detached duplex,4,4500000
Lekki,semi-detached duplex,4,3000000
Lekki,terraced duplex,3,2700000
Lekki,flat apartment,4,3000000
Lekki,detached duplex,4,300000000
Lekki,semi-detached duplex,3,4000000
VI,detached duplex,8,25000000
Ikeja,detached duplex,5,13000000
Lekki,terraced duplex,4,3000000
Lekki,detached duplex,4,3500000
Lekki,detached duplex,5,3500000
Lekki,detached duplex,5,4500000
Lekki,terraced duplex,4,3000000
Ikoyi,terraced duplex,4,6500000
VI,semi-detached duplex,5,8000000
Lekki,terraced duplex,3,5500000
Lekki,semi-detached duplex,6,5000000
Lekki,detached duplex,5,6000000
Lekki,semi-detached duplex,4,3000000
Ikoyi,semi-detached duplex,4,230000000
Lekki,semi-detached duplex,4,5000000
VI,detached duplex,6,7000000
Lekki,terraced duplex,4,4500000
Lekki,semi-detached duplex,4,3500000
Lekki,semi-detached duplex,4,3000000
Lekki,terraced duplex,4,3000000
Lekki,flat apartment,4,3200000
Ikoyi,semi-detached duplex,5,17000000
Lekki,terraced bungalow,2,2000000
Lekki,semi-detached duplex,4,3500000
Lekki,detached duplex,4,3500000
Lekki,semi-detached duplex,4,3500000
Ikeja,terraced duplex,4,6000000
Lekki,detached duplex,5,5000000
Lekki,terraced duplex,4,4500000
Ketu,terraced duplex,2,800000
Lekki,semi-detached duplex,6,5000000
Lekki,terraced duplex,4,6000000
VI,terraced duplex,4,7000000
Lekki,detached duplex,4,2200000
Ikoyi,terraced duplex,4,4000000
Lekki,semi-detached duplex,3,3000000
Lekki,terraced duplex,5,5500000
Ikoyi,semi-detached duplex,4,7000000
Ikoyi,detached duplex,4,7000000
Ajah,flat apartment,4,3500000
Lekki,terraced duplex,4,4500000
VI,semi-detached duplex,5,10000000
Lekki,semi-detached duplex,4,3000000
Magodo,detached duplex,5,5500000
Lekki,semi-detached duplex,4,3500000
Lekki,terraced duplex,4,2800000
