,Type,Rooms,Location,Price
280,semi-detached duplex,5,Lekki,6000000
281,semi-detached duplex,6,Lekki,5200000
282,terraced duplex,3,Lekki,3000000
283,house for,3,(VI),12000000
284,semi-detached duplex,4,Lekki,5000000
285,terraced duplex,3,Lekki,2500000
286,terraced duplex,4,Lekki,2500000
287,semi-detached duplex,4,Lekki,3500000
288,semi-detached duplex,5,Lekki,3500000
289,terraced duplex,4,(VI),4500000
290,semi-detached duplex,4,Ajah,2000000
291,terraced duplex,4,(VI),5000000
292,house for,3,(VI),6000000
293,terraced duplex,3,(VI),3500000
294,terraced duplex,3,Lekki,1500000
295,semi-detached duplex,3,Lekki,1300000
296,semi-detached duplex,5,Ikoyi,25000000
297,detached duplex,5,Lekki,4000000
298,terraced duplex,4,Ikeja,6000000
299,house for,4,Lekki,3000000
300,detached bungalow,2,Lekki,2300000
301,detached duplex,5,Lekki,5000000
302,house for,4,Ikoyi,7000000
303,terraced duplex,5,Ikoyi,12000000
304,house for,5,Gbagada,2500000
305,terraced duplex,3,Ikoyi,9000000
306,terraced duplex,4,Lekki,3200000
307,terraced duplex,4,Lekki,3500000
308,semi-detached duplex,4,Lekki,3500000
309,terraced duplex,4,Lekki,3000000
310,semi-detached bungalow,3,Ajah,1000000
311,semi-detached bungalow,2,Ajah,1000000
312,semi-detached bungalow,2,Ajah,750000
313,semi-detached duplex,4,Lekki,3500000
314,semi-detached duplex,4,Lekki,3500000
315,terraced duplex,3,Lekki,1500000
316,terraced duplex,3,Ikoyi,10000000
317,semi-detached bungalow,3,Ajah,750000
318,semi-detached bungalow,3,Ajah,1000000
319,detached bungalow,2,Ajah,700000
320,semi-detached duplex,4,Lekki,3500000
321,house for,2,Ajah,650000
322,semi-detached duplex,4,Lekki,4500000
323,detached duplex,7,Maryland,10000000
324,house for,1,Ajah,200000
325,semi-detached duplex,4,Lekki,4000000
326,detached duplex,4,Ajah,4000000
327,semi-detached duplex,4,Ajah,3000000
328,detached duplex,4,Lekki,4500000
329,detached duplex,4,Ikoyi,10000000
330,detached duplex,4,Lekki,4000000
331,terraced duplex,4,Lekki,3000000
332,terraced duplex,3,Ikoyi,15000000
333,semi-detached duplex,4,Lekki,3500000
334,house for,5,Lekki,4500000
335,house for,5,Lekki,3000000
336,semi-detached duplex,6,Lekki,5000000
337,house for,5,Lekki,4000000
338,semi-detached duplex,4,Lekki,3500000
339,terraced duplex,4,Lekki,3000000
340,semi-detached bungalow,4,Lekki,3500000
341,terraced duplex,3,Ikoyi,16000000
342,semi-detached bungalow,4,Lekki,3500000
343,detached duplex,4,Ajah,2500000
344,terraced duplex,4,(VI),4000000
345,semi-detached duplex,3,Ajah,1200000
346,terraced duplex,4,(VI),20000000
347,terraced duplex,4,Ajah,2000000
348,semi-detached duplex,4,Lekki,3000000
