,Type,Rooms,Location,Price
2032,detached bungalow,3,Lekki,4000000
2033,detached duplex,6,Lekki,7000000
2034,terraced duplex,3,Lekki,2500000
2035,semi-detached duplex,4,Lekki,3500000
2036,house for,4,Ajah,1700000
2037,semi-detached duplex,6,Lekki,5000000
2038,detached duplex,4,Lekki,5000000
2039,semi-detached duplex,4,Lekki,3500000
2040,detached duplex,5,Lekki,3500000
2041,semi-detached duplex,4,Lekki,2500000
2042,semi-detached duplex,3,Lekki,2500000
2043,semi-detached duplex,4,Lekki,3500000
2044,terraced duplex,4,(VI),7000000
2045,terraced duplex,4,(VI),4500000
2046,semi-detached duplex,4,Lekki,3500000
2047,terraced duplex,4,Lekki,3000000
2048,semi-detached duplex,6,Surulere,4000000
2049,terraced duplex,4,Lekki,3000000
2050,detached duplex,5,Lekki,4000000
2051,semi-detached duplex,6,Lekki,3000000
2052,semi-detached duplex,4,Lekki,4000000
2053,house for,4,Lekki,3200000
2054,terraced duplex,4,Lekki,3000000
2055,semi-detached duplex,4,(VI),4500000
2056,terraced duplex,4,Lekki,3000000
2057,semi-detached duplex,4,Lekki,4000000
